,date,newCasesBySpecimenDate,newAdmissions,casesshifted,ratio,average,0-64,65+,0-64admissions,65+admissions,0-64admissionsnew,65+admissionsnew,casesshifted0-64,ratio0-64,average0-64,casesshifted65+,ratio65+,average65+
55,2021-08-19,28395,824.0,27631.0,2.9821577213998767,3.2190484535194357,24388.0,2019.0,172974.0,260386.0,498.0,326.0,15539.0,32.04839436257159,21.70123378989758,1802.0,180.91009988901223,159.84791597095324
56,2021-08-18,30694,795.0,19704.0,4.034713763702801,3.2092046730684514,26542.0,2055.0,172476.0,260060.0,446.0,349.0,16484.0,27.056539674836205,22.00398019497585,1718.0,203.1431897555297,159.18837420028194
57,2021-08-17,30328,832.0,19496.0,4.267542059909725,3.1782306167745396,26319.0,1993.0,172030.0,259711.0,475.0,357.0,19717.0,24.090886037429627,22.407041762878073,2230.0,160.0896860986547,157.84637551941503
58,2021-08-16,30145,776.0,24295.0,3.19407285449681,3.1655834424664513,25908.0,2076.0,171555.0,259354.0,407.0,369.0,21536.0,18.89858841010401,21.75226289927517,2358.0,156.48854961832063,152.89484305169393
59,2021-08-15,20841,719.0,27517.0,2.6129301886106773,3.1564613277383144,17822.0,1509.0,171148.0,258985.0,394.0,325.0,22795.0,17.28449221320465,20.801378623408624,2367.0,137.30460498521336,149.6400747479901
60,2021-08-14,20911,689.0,28238.0,2.439974502443516,3.1659973594713855,17981.0,1496.0,170754.0,258660.0,399.0,290.0,23185.0,17.20940263101143,20.205962935744118,2394.0,121.13617376775271,146.115369776844
61,2021-08-13,24458,694.0,26411.0,2.627693006701753,3.159422584596128,20858.0,1783.0,170355.0,258370.0,387.0,307.0,24685.0,15.677536965768686,19.94858518593905,2761.0,111.19159724737413,143.97342270887208
62,2021-08-12,27071,758.0,25974.0,2.9183029183029183,3.143185754724525,23211.0,1762.0,169968.0,258063.0,471.0,287.0,18549.0,25.392204431505743,19.55085577483747,1815.0,158.12672176308538,140.8636525482983
63,2021-08-11,28493,747.0,18213.0,4.101465985834294,3.145061284168087,24606.0,1717.0,169497.0,257776.0,432.0,315.0,18874.0,22.888629861184697,19.309916926850573,1765.0,178.47025495750708,137.72420428659422
64,2021-08-10,26986,760.0,18003.0,4.2215186357829255,3.1381402353783865,23359.0,1619.0,169065.0,257461.0,473.0,287.0,21221.0,22.28924178879412,18.94117588780985,1978.0,145.09605662285136,137.9805017334345
65,2021-08-09,27631,665.0,21588.0,3.0804150453955903,3.131806883996332,23813.0,1749.0,168592.0,257174.0,393.0,272.0,24388.0,16.11448253239298,18.95124653499475,2019.0,134.72015849430412,139.23058734549417
