date,Overseas,UK,UK average,Overseas average,ratio,ratio average
2020-07-23,48,153,158.14285714285714,39.285714285714285,3.1875,3.9081621061215692
2020-07-24,34,135,154.28571428571428,38.0,3.9705882352941178,3.9427403818763147
2020-07-25,27,146,135.28571428571428,34.285714285714285,5.407407407407407,4.076426448895715
2020-07-26,21,95,128.71428571428572,32.714285714285715,4.523809523809524,4.144907174519298
2020-07-27,35,125,125.28571428571429,32.285714285714285,3.5714285714285716,4.137832344587325
2020-07-28,23,93,121.14285714285714,30.428571428571427,4.043478260869565,4.1426238263974415
2020-07-29,27,132,125.57142857142857,30.714285714285715,4.888888888888889,4.189560163656359
2020-07-30,41,137,123.28571428571429,29.714285714285715,3.341463414634146,4.173439373877033
2020-07-31,34,153,125.85714285714286,29.714285714285715,4.5,4.256482347163908
2020-08-01,19,88,117.57142857142857,28.571428571428573,4.631578947368421,4.204924882072608
2020-08-02,18,77,115.0,28.142857142857142,4.277777777777778,4.2311394082871345
2020-08-03,54,223,129.0,30.857142857142858,4.12962962962963,4.2461305899449835
2020-08-04,40,255,152.14285714285714,33.285714285714285,6.375,4.357462159609886
2020-08-05,47,364,185.28571428571428,36.142857142857146,7.74468085106383,4.486397579325447
2020-08-06,59,286,206.57142857142858,38.714285714285715,4.8474576271186445,4.487070164743795
2020-08-07,57,222,216.42857142857142,42.0,3.8947368421052633,4.493131830536184
2020-08-08,71,251,239.71428571428572,49.42857142857143,3.535211267605634,4.4108013697842505
2020-08-09,100,343,277.7142857142857,61.142857142857146,3.43,4.364313274546155
2020-08-10,30,107,261.14285714285717,57.714285714285715,3.566666666666667,4.347437752407475
2020-08-11,28,97,238.57142857142858,56.0,3.4642857142857144,4.351028077426371
2020-08-12,41,110,202.28571428571428,55.142857142857146,2.682926829268293,4.286405545486766
2020-08-13,35,116,178.0,51.714285714285715,3.3142857142857145,4.292442960452753
2020-08-14,31,119,163.28571428571428,48.0,3.838709677419355,4.286163029125383
2020-08-15,19,107,142.71428571428572,40.57142857142857,5.631578947368421,4.296837864361622
2020-08-16,16,77,104.71428571428571,28.571428571428573,4.8125,4.310585029894502
2020-08-17,21,89,102.14285714285714,27.285714285714285,4.238095238095238,4.342331061640534
2020-08-18,16,80,99.71428571428571,25.571428571428573,5.0,4.38787971588484
2020-08-19,32,116,100.57142857142857,24.285714285714285,3.625,4.327694530699655
2020-08-20,23,114,100.28571428571429,22.571428571428573,4.956521739130435,4.404602069961383
2020-08-21,32,98,97.28571428571429,22.714285714285715,3.0625,4.336149689009002
2020-08-22,29,96,95.71428571428571,24.142857142857142,3.310344827586207,4.273233778543182
2020-08-23,10,75,95.42857142857143,23.285714285714285,7.5,4.426672931982336
2020-08-24,18,69,92.57142857142857,22.857142857142858,3.8333333333333335,4.4125635845396545
2020-08-25,25,105,96.14285714285714,24.142857142857142,4.2,4.308992155968226
2020-08-26,26,89,92.28571428571429,23.285714285714285,3.423076923076923,4.103201492730754
2020-08-27,33,112,92.0,24.714285714285715,3.393939393939394,4.033986338769838
2020-08-28,24,97,91.85714285714286,23.571428571428573,4.041666666666667,4.040982997082286
2020-08-29,22,52,85.57142857142857,22.571428571428573,2.3636363636363638,3.9851937159408912
2020-08-30,29,131,93.57142857142857,25.285714285714285,4.517241379310345,4.0369671149556705
2020-08-31,29,127,101.85714285714286,26.857142857142858,4.379310344827586,4.0756644329633325
2020-09-01,18,85,99.0,25.857142857142858,4.722222222222222,4.1355661714364995
2020-09-02,18,92,99.42857142857143,24.714285714285715,5.111111111111111,4.251193994381396
2020-09-03,19,138,103.14285714285714,22.714285714285715,7.2631578947368425,4.439235526783831
2020-09-04,36,506,161.57142857142858,24.428571428571427,14.055555555555555,4.925751997171269
2020-09-05,46,414,213.28571428571428,27.857142857142858,9.0,5.086152999677535
2020-09-06,33,195,222.42857142857142,28.428571428571427,5.909090909090909,5.138371614396149
2020-09-07,37,152,226.0,29.571428571428573,4.108108108108108,5.132181751063429
2020-09-08,17,152,235.57142857142858,29.428571428571427,8.941176470588236,5.31985682109144
2020-09-09,29,153,244.28571428571428,31.0,5.275862068965517,5.398469300565988
2020-09-10,35,170,248.85714285714286,33.285714285714285,4.857142857142857,5.3937369728522935
2020-09-11,25,269,215.0,31.714285714285715,10.76,5.7602845918999135
2020-09-12,24,213,186.28571428571428,28.571428571428573,8.875,6.025268171538666
2020-09-13,24,285,199.14285714285714,27.285714285714285,11.875,6.233601504871998
2020-09-14,15,116,194.0,24.142857142857142,7.733333333333333,6.419315790586284
2020-09-15,46,381,226.71428571428572,28.285714285714285,8.282608695652174,6.613725728474484
2020-09-16,35,197,233.0,29.142857142857142,5.628571428571429,6.718749276355174
2020-09-17,44,313,253.42857142857142,30.428571428571427,7.113636363636363,6.8958777034836
2020-09-18,31,271,253.71428571428572,31.285714285714285,8.741935483870968,7.119700028112377
2020-09-19,39,252,259.2857142857143,33.42857142857143,6.461538461538462,7.314838223250571
2020-09-20,35,195,246.42857142857142,35.0,5.571428571428571,7.36503761335144
2020-09-21,24,223,261.7142857142857,36.285714285714285,9.291666666666666,7.598959342962825
2020-09-22,41,225,239.42857142857142,35.57142857142857,5.487804878048781,7.635415659906947
2020-09-23,51,296,253.57142857142858,37.857142857142854,5.803921568627451,7.668406634074392
2020-09-24,51,279,248.71428571428572,38.857142857142854,5.470588235294118,7.583046174100929
2020-09-25,34,329,257.0,39.285714285714285,9.676470588235293,7.37451831851425
2020-09-26,35,223,252.85714285714286,38.714285714285715,6.371428571428571,7.2493482504870395
2020-09-27,25,174,249.85714285714286,37.285714285714285,6.96,7.299391540530329
2020-09-28,39,184,244.28571428571428,39.42857142857143,4.717948717948718,7.328431569570357
2020-09-29,34,168,236.14285714285714,38.42857142857143,4.9411764705882355,7.137955379094167
2020-09-30,68,1063,345.7142857142857,40.857142857142854,15.632352941176471,7.631121611104212
2020-10-01,50,238,339.85714285714283,40.714285714285715,4.76,7.626495760764078
2020-10-02,33,236,326.57142857142856,40.57142857142857,7.151515151515151,7.454663148931464
2020-10-03,23,200,323.2857142857143,38.857142857142854,8.695652173913043,7.446122776260657
2020-10-04,22,199,326.85714285714283,38.42857142857143,9.045454545454545,7.311382516520397
2020-10-05,39,192,328.0,38.42857142857143,4.923076923076923,7.177560782698665
2020-10-06,20,127,322.14285714285717,36.42857142857143,6.35,7.085531797191417
2020-10-07,28,181,196.14285714285714,30.714285714285715,6.464285714285714,7.125327715558764
2020-10-08,23,176,187.28571428571428,26.857142857142858,7.6521739130434785,7.150972360768627
2020-10-09,28,168,177.57142857142858,26.142857142857142,6.0,7.020404004393819
2020-10-10,27,158,171.57142857142858,26.714285714285715,5.851851851851852,6.991371308694457
2020-10-11,54,437,205.57142857142858,31.285714285714285,8.092592592592593,7.111426738273696
2020-10-12,20,167,202.0,28.571428571428573,8.35,7.066585468432426
2020-10-13,25,123,201.42857142857142,29.285714285714285,4.92,7.039547140906293
2020-10-14,33,226,207.85714285714286,30.0,6.848484848484849,7.08928824947093
2020-10-15,28,162,205.85714285714286,30.714285714285715,5.785714285714286,7.104294251871892
2020-10-16,31,158,204.42857142857142,31.142857142857142,5.096774193548387,6.886213471172516
2020-10-17,31,136,201.28571428571428,31.714285714285715,4.387096774193548,6.79172148082799
2020-10-18,16,118,155.71428571428572,26.285714285714285,7.375,6.811483385589895
2020-10-19,31,115,148.28571428571428,27.857142857142858,3.7096774193548385,6.763470466609234
2020-10-20,30,139,150.57142857142858,28.571428571428573,4.633333333333334,6.748811269597096
2020-10-21,36,143,138.71428571428572,29.0,3.9722222222222223,6.193566949646894
2020-10-22,42,168,139.57142857142858,31.0,4.0,6.1573764734564165
2020-10-23,34,128,135.28571428571428,31.428571428571427,3.764705882352941,5.99609984159155
2020-10-24,17,161,138.85714285714286,29.428571428571427,9.470588235294118,6.033001558800173
2020-10-25,22,127,140.14285714285714,30.285714285714285,5.7727272727272725,5.877157402956017
2020-10-26,27,162,146.85714285714286,29.714285714285715,6.0,5.928439454238068
2020-10-27,20,159,149.71428571428572,28.285714285714285,7.95,6.004629930428544
2020-10-28,41,225,161.42857142857142,29.0,5.487804878048781,5.95813084298869
2020-10-29,18,202,166.28571428571428,25.571428571428573,11.222222222222221,6.1281331434257735
2020-10-30,28,206,177.42857142857142,24.714285714285715,7.357142857142857,6.19275899376591
2020-10-31,50,214,185.0,29.428571428571427,4.28,6.117908905582489
2020-11-01,33,263,204.42857142857142,31.0,7.96969696969697,6.112056733063649
2020-11-02,31,218,212.42857142857142,31.571428571428573,7.032258064516129,6.049307117088226
2020-11-03,52,326,236.28571428571428,36.142857142857146,6.269230769230769,6.113556201337311
2020-11-04,60,582,287.2857142857143,38.857142857142854,9.7,6.249342637123745
2020-11-05,31,180,284.14285714285717,40.714285714285715,5.806451612903226,6.250330128894648
