,Date,Evening Blend,Lunchtime
322,05/06/2022,120319,104354
323,06/06/2022,120415,104444
324,07/06/2022,120432,104463
325,08/06/2022,120426,104458
326,09/06/2022,120438,104455
327,10/06/2022,120478,104466
328,11/06/2022,120559,104519
329,12/06/2022,120623,104572
330,13/06/2022,120623,104552
331,14/06/2022,120626,104555
332,15/06/2022,120609,104535
333,16/06/2022,120603,104546
334,17/06/2022,120635,104568
335,18/06/2022,120705,104629
336,19/06/2022,120790,104703
337,20/06/2022,120785,104696
338,21/06/2022,120789,104681
339,22/06/2022,120839,104622
340,23/06/2022,120873,104622
341,24/06/2022,120962,104696
342,25/06/2022,121052,104772
343,26/06/2022,121157,104854
344,27/06/2022,121175,104869
345,28/06/2022,121172,104875
346,29/06/2022,121211,104892
347,30/06/2022,121244,104931
348,01/07/2022,121288,104976
349,02/07/2022,121366,105041
350,03/07/2022,121462,105115
351,04/07/2022,121462,105108
352,05/07/2022,121557,105176
353,06/07/2022,121614,105236
354,07/07/2022,121726,105376
355,08/07/2022,121862,105485
356,09/07/2022,122025,105631
357,10/07/2022,122178,105763
358,11/07/2022,122237,105803
359,12/07/2022,122297,105820
360,13/07/2022,122368,105896
361,14/07/2022,122495,105977
362,15/07/2022,122533,106036
363,16/07/2022,122656,106155
364,17/07/2022,122777,106304
365,18/07/2022,122786,106353
366,19/07/2022,122837,106415
367,20/07/2022,122865,106450
368,21/07/2022,122933,106474
369,22/07/2022,123015,106543
370,23/07/2022,123124,106637
371,24/07/2022,123271,106761
372,25/07/2022,123303,106775
373,26/07/2022,124637,108070
374,27/07/2022,124787,108191
375,28/07/2022,124855,108226
376,29/07/2022,124943,108312
377,30/07/2022,125040,108409
378,31/07/2022,125141,108504
379,01/08/2022,125177,108499
380,02/08/2022,125243,108545
381,03/08/2022,125273,108561
382,04/08/2022,125327,108618
383,05/08/2022,125369,108619
384,06/08/2022,125459,108704
385,07/08/2022,125564,108784
386,08/08/2022,125595,108770
387,09/08/2022,125602,108792
388,10/08/2022,125600,108789
389,11/08/2022,126536,109701
390,12/08/2022,126688,109778
391,13/08/2022,126836,109900
392,14/08/2022,126975,110012
393,15/08/2022,127083,110063
394,16/08/2022,127078,110061
395,17/08/2022,127083,110079
396,18/08/2022,127086,110100
397,19/08/2022,127085,110125
398,20/08/2022,127137,110185
399,21/08/2022,127244,110273
400,22/08/2022,127299,110256
401,23/08/2022,127284,110263
402,24/08/2022,127338,110305
403,25/08/2022,127417,110379
404,26/08/2022,127491,110425
405,27/08/2022,127547,110482
406,28/08/2022,127637,110559
407,29/08/2022,127687,110660
408,30/08/2022,127747,110657
409,31/08/2022,127791,110719
410,01/09/2022,127911,110784
411,02/09/2022,127940,110835
412,03/09/2022,128033,110924
413,04/09/2022,128159,111025
414,05/09/2022,128273,111073
415,06/09/2022,128448,111175
416,07/09/2022,128531,111285
417,08/09/2022,128690,111403
418,09/09/2022,128772,111517
419,10/09/2022,128802,111621
420,11/09/2022,128884,111711
421,12/09/2022,129007,111722
422,13/09/2022,129113,111745
423,14/09/2022,129191,111781
424,15/09/2022,127352,110012
425,16/09/2022,127477,110121
426,17/09/2022,127590,110314
427,18/09/2022,127745,110448
428,19/09/2022,127878,110594
429,20/09/2022,130913,113307
430,21/09/2022,130914,113293
431,22/09/2022,131052,113337
432,23/09/2022,131208,113512
433,24/09/2022,131245,113596
434,25/09/2022,131367,113680
435,26/09/2022,131482,113680
436,27/09/2022,131535,113732
437,28/09/2022,131607,113791
438,29/09/2022,131679,113865
439,30/09/2022,131809,113936
440,01/10/2022,131869,114029
