,Date,Subscribers
449,29/08/2022,135095
450,30/08/2022,135178
451,31/08/2022,135334
452,01/09/2022,135230
453,02/09/2022,135339
454,03/09/2022,135451
455,04/09/2022,135557
456,05/09/2022,135705
457,06/09/2022,135883
458,07/09/2022,136087
459,08/09/2022,135973
460,09/09/2022,136092
461,10/09/2022,136195
462,11/09/2022,136098
463,12/09/2022,136209
464,13/09/2022,136336
465,14/09/2022,136464
466,15/09/2022,134215
467,16/09/2022,134380
468,17/09/2022,134583
469,18/09/2022,134564
470,19/09/2022,134711
471,20/09/2022,137572
472,21/09/2022,137667
473,22/09/2022,137524
474,23/09/2022,137756
475,24/09/2022,137864
476,25/09/2022,137791
477,26/09/2022,137898
478,27/09/2022,138046
479,28/09/2022,138198
480,29/09/2022,138128
481,30/09/2022,138263
482,01/10/2022,138367
483,02/10/2022,138310
484,03/10/2022,138420
485,04/10/2022,138517
486,05/10/2022,138611
487,06/10/2022,138436
488,07/10/2022,138494
489,08/10/2022,138566
490,09/10/2022,138644
491,10/10/2022,138731
492,11/10/2022,138818
493,12/10/2022,138929
494,13/10/2022,138776
495,14/10/2022,138870
496,15/10/2022,139021
497,16/10/2022,138829
498,17/10/2022,138963
499,18/10/2022,139174
500,19/10/2022,139332
501,20/10/2022,139342
502,21/10/2022,139616
503,22/10/2022,139822
504,23/10/2022,139776
505,24/10/2022,139996
506,25/10/2022,140141
507,26/10/2022,140279
508,27/10/2022,140118
509,28/10/2022,140288
510,29/10/2022,140414
511,30/10/2022,140292
512,31/10/2022,140398
513,01/11/2022,140441
514,02/11/2022,140485
515,03/11/2022,140207
516,04/11/2022,140190
517,05/11/2022,140204
518,06/11/2022,140221
519,07/11/2022,140009
520,08/11/2022,140067
521,09/11/2022,140115
522,10/11/2022,139903
523,11/11/2022,139922
524,12/11/2022,139947
525,13/11/2022,139717
526,14/11/2022,139772
527,15/11/2022,139822
528,16/11/2022,139866
529,17/11/2022,139673
530,18/11/2022,139711
531,19/11/2022,139765
532,20/11/2022,139532
533,21/11/2022,139606
534,22/11/2022,139669
535,23/11/2022,139728
536,24/11/2022,139544
537,25/11/2022,139592
538,26/11/2022,139650
539,27/11/2022,139449
540,28/11/2022,139525
541,29/11/2022,139592
542,30/11/2022,139650
543,01/12/2022,139431
544,02/12/2022,139501
545,03/12/2022,139580
546,04/12/2022,139343
547,05/12/2022,139439
548,06/12/2022,139531
549,07/12/2022,139660
550,09/12/2022,139644
551,10/12/2022,139752
552,11/12/2022,139629
553,12/12/2022,139708
554,13/12/2022,139774
555,14/12/2022,139831
556,15/12/2022,139702
557,16/12/2022,139807
558,17/12/2022,139941
559,18/12/2022,139849
560,19/12/2022,140022
561,20/12/2022,140148
562,21/12/2022,140262
563,22/12/2022,140363
564,23/12/2022,140454
565,24/12/2022,140563
566,25/12/2022,140521
567,26/12/2022,140572
568,27/12/2022,140647
569,28/12/2022,140752
570,29/12/2022,140873
571,30/12/2022,140991
572,31/12/2022,141109
573,01/01/2023,141125
574,02/01/2023,141223
575,03/01/2023,141400
576,04/01/2023,141536
577,05/01/2023,141113
578,06/01/2023,141211
579,07/01/2023,141442
580,08/01/2023,141432
581,09/01/2023,141563
582,10/01/2023,141687
583,11/01/2023,141829
584,12/01/2023,141652
585,13/01/2023,141752
586,14/01/2023,141894
587,15/01/2023,141782
588,16/01/2023,141889
589,17/01/2023,141992
590,18/01/2023,142107
591,19/01/2023,141839
592,20/01/2023,141832
593,21/01/2023,141913
594,22/01/2023,141780
595,23/01/2023,141864
596,24/01/2023,141949
597,25/01/2023,142021
598,26/01/2023,141779
599,27/01/2023,141814
600,28/01/2023,141901
601,29/01/2023,141976
602,30/01/2023,142073
603,31/01/2023,142238
604,01/02/2023,142333
605,02/02/2023,142085
606,03/02/2023,142126
607,04/02/2023,142204
608,05/02/2023,142270
609,06/02/2023,142335
610,07/02/2023,142422
611,08/02/2023,142498
612,09/02/2023,142522
613,10/02/2023,142329
614,12/02/2023,142495
615,13/02/2023,142571
616,14/02/2023,142625
617,15/02/2023,142708
618,16/02/2023,142506
619,17/02/2023,142566
620,18/02/2023,142640
621,19/02/2023,142740
622,20/02/2023,142848
623,21/02/2023,142970
624,22/02/2023,143095
625,23/02/2023,142972
626,24/02/2023,143058
627,25/02/2023,143140
628,26/02/2023,143199
629,27/02/2023,143253
630,28/02/2023,143369
631,01/03/2023,143485
632,02/03/2023,143336
633,03/03/2023,143453
634,04/03/2023,143545
635,05/03/2023,143651
636,06/03/2023,143758
637,07/03/2023,143923
638,08/03/2023,144106
639,09/03/2023,143913
640,10/03/2023,143984
641,11/03/2023,144074
642,12/03/2023,144180
643,13/03/2023,144248
644,14/03/2023,144247
645,15/03/2023,144255
646,16/03/2023,144226
647,17/03/2023,144302
648,18/03/2023,144428
649,19/03/2023,144488
650,20/03/2023,144542
651,21/03/2023,144599
652,22/03/2023,144662
653,23/03/2023,144424
654,24/03/2023,144484
655,25/03/2023,144557
656,26/03/2023,144654
657,27/03/2023,144748
658,28/03/2023,144845
659,29/03/2023,144945
660,30/03/2023,144727
661,31/03/2023,144767
662,01/04/2023,144853
663,02/04/2023,144937
664,03/04/2023,145004
665,04/04/2023,145068
666,05/04/2023,145131
667,06/04/2023,144927
668,07/04/2023,144987
669,08/04/2023,145049
670,09/04/2023,145049
671,10/04/2023,145080
672,11/04/2023,145123
673,12/04/2023,145231
674,13/04/2023,145020
675,14/04/2023,145058
676,15/04/2023,145087
677,16/04/2023,145120
678,17/04/2023,145165
679,18/04/2023,145236
680,19/04/2023,145336
681,20/04/2023,145137
682,21/04/2023,145166
683,22/04/2023,145220
684,23/04/2023,145286
685,24/04/2023,145353
686,25/04/2023,145431
687,26/04/2023,145493
688,27/04/2023,145284
689,28/04/2023,145314
690,29/04/2023,145375
691,30/04/2023,145438
692,01/05/2023,145507
693,02/05/2023,145573
694,03/05/2023,145632
695,04/05/2023,145422
696,05/05/2023,145451
697,06/05/2023,145511
698,07/05/2023,145582
699,08/05/2023,145670
700,09/05/2023,145612
701,10/05/2023,145665
702,11/05/2023,145447
703,12/05/2023,145498
704,13/05/2023,145574
705,14/05/2023,145681
706,15/05/2023,145763
707,16/05/2023,145835
708,17/05/2023,145887
709,18/05/2023,145671
710,19/05/2023,145709
711,20/05/2023,145772
712,21/05/2023,145844
713,22/05/2023,145938
714,23/05/2023,146029
715,24/05/2023,146110
716,25/05/2023,145863
717,26/05/2023,145906
718,27/05/2023,146001
719,28/05/2023,146097
720,29/05/2023,146204
721,30/05/2023,146336
722,31/05/2023,146453
723,01/06/2023,146315
724,02/06/2023,146486
725,03/06/2023,146636
726,04/06/2023,146720
727,05/06/2023,146835
728,06/06/2023,146985
729,07/06/2023,147106
730,08/06/2023,146929
731,09/06/2023,147008
732,10/06/2023,147193
733,11/06/2023,147313
734,12/06/2023,147456
735,13/06/2023,147574
736,14/06/2023,147685
737,15/06/2023,147554
738,16/06/2023,147735
739,17/06/2023,147886
740,18/06/2023,147977
741,19/06/2023,148109
742,20/06/2023,148211
743,21/06/2023,148346
744,22/06/2023,148157
745,23/06/2023,148233
746,24/06/2023,148328
747,25/06/2023,148385
748,26/06/2023,148465
749,27/06/2023,148570
750,28/06/2023,148636
751,29/06/2023,148665
752,30/06/2023,148478
753,01/07/2023,148562
754,02/07/2023,148629
755,03/07/2023,148699
756,04/07/2023,148804
757,05/07/2023,148908
758,06/07/2023,148734
759,07/07/2023,148781
760,08/07/2023,148851
761,09/07/2023,148908
762,10/07/2023,149012
763,11/07/2023,149082
764,12/07/2023,149183
765,13/07/2023,148994
766,14/07/2023,149077
767,15/07/2023,149149
768,16/07/2023,149223
769,17/07/2023,149299
770,18/07/2023,149372
771,19/07/2023,149433
772,20/07/2023,149204
773,21/07/2023,149254
774,22/07/2023,149311
775,23/07/2023,149365
776,24/07/2023,149434
777,25/07/2023,149522
778,26/07/2023,149626
779,27/07/2023,149367
780,28/07/2023,149415
781,29/07/2023,149487
782,30/07/2023,149546
783,31/07/2023,149620
784,01/08/2023,149680
785,02/08/2023,149752
786,03/08/2023,149519
787,04/08/2023,149563
788,05/08/2023,149643
789,06/08/2023,149710
790,07/08/2023,149775
791,08/08/2023,149928
792,09/08/2023,150137
793,10/08/2023,149967
794,11/08/2023,150118
795,12/08/2023,150256
796,13/08/2023,150387
797,14/08/2023,150489
798,15/08/2023,150572
799,16/08/2023,150684
800,17/08/2023,150498
801,18/08/2023,150570
802,19/08/2023,150673
803,20/08/2023,150763
804,21/08/2023,150853
805,22/08/2023,150948
806,23/08/2023,151047
807,24/08/2023,150860
808,25/08/2023,150935
809,26/08/2023,151015
810,27/08/2023,151093
811,28/08/2023,151187
