date,unique page views,ga:users,pageviews per subscriber,average
2020-06-05,54793,14345,3.8196584175670965,3.448209238690972
2020-06-06,51840,14432,3.5920177383592016,3.4858490074032344
2020-06-07,39455,11447,3.446754608194287,3.5284681872400405
2020-06-08,52756,15016,3.513319126265317,3.560933498577563
2020-06-09,49162,14311,3.435259590524771,3.6038725333863213
2020-06-10,51926,15122,3.433805052241767,3.6226699473690855
2020-06-11,74528,17583,4.238639595063414,3.6399220183165504
2020-06-12,51654,14814,3.486836776022681,3.5923760695244913
2020-06-13,46296,14331,3.2304793803642453,3.5407277326680684
2020-06-14,34476,11150,3.092017937219731,3.4900510653859897
2020-06-15,45457,14046,3.236295030613698,3.4504761945786155
2020-06-16,51431,14237,3.612488586078528,3.475794622514866
2020-06-17,52073,14440,3.606163434903047,3.500417248609335
2020-06-18,74655,17651,4.229505410458331,3.499112365094323
2020-06-19,48069,14498,3.3155607670023453,3.474644363805704
2020-06-20,42810,13677,3.1300723842948015,3.4603005072243547
2020-06-21,29230,10814,2.7029776216016277,3.404723319278911
2020-06-22,40629,27690,1.4672806067172264,3.1520069730079867
2020-06-23,51758,30446,1.699993430992577,2.8787933794242795
2020-06-24,43966,27582,1.5940105866144587,2.591342972525909
2020-06-25,72615,35258,2.0595325883487434,2.281346855081683
2020-06-26,51296,29908,1.7151263875886051,2.052713372308291
2020-06-27,55281,17248,3.205067254174397,2.063426925148234
2020-06-28,35316,11970,2.950375939849624,2.0987695420408046
2020-06-29,54858,14863,3.6909103142030544,2.4164309288244943
2020-06-30,51379,14898,3.448717948717949,2.666248717070976
2020-07-01,50688,14830,3.417936614969656,2.9268095782645753
2020-07-02,71261,17587,4.051913345084437,3.2114354006553887
2020-07-03,53512,14704,3.6392818280739934,3.4863147492961586
2020-07-04,52901,15389,3.437585288192865,3.5195316112987975
2020-07-05,32219,11481,2.806288650814389,3.498947712865192
2020-07-06,44451,13947,3.187137018713702,3.4269800992238557
2020-07-07,41999,13866,3.028919659599019,3.367008915064009
2020-07-08,38608,13468,2.8666468666468665,3.288253236732182
2020-07-09,63425,16003,3.963319377616697,3.2755969556653612
2020-07-10,41487,13123,3.16139602225101,3.2073275548335074
2020-07-11,37998,13504,2.8138329383886256,3.118220076290044
2020-07-12,27329,10547,2.59116336398976,3.0874878924579545
2020-07-13,37843,13238,2.858664450823387,3.040563239902195
2020-07-14,46891,13927,3.3669131902060747,3.088848029988917
2020-07-15,50579,13999,3.6130437888420603,3.1954761617310874
2020-07-16,64549,16965,3.8048334806955495,3.172835319313781
2020-07-17,41411,13562,3.0534581920070787,3.1574156292789337
2020-07-18,35195,13217,2.662858439888023,3.1358478437788477
2020-07-19,26091,10461,2.494121020934901,3.1219846519138676
2020-07-20,44278,14291,3.098313623959135,3.1562202480761172
2020-07-21,41721,14089,2.961246362410391,3.0982678441053055
2020-07-22,33842,13071,2.5890903526891593,2.9519887817977484
2020-07-23,56538,15878,3.560775916362262,2.9171234154644217
2020-07-24,44382,13180,3.3673748103186645,2.961968646651791
2020-07-25,35665,12913,2.7619453264152405,2.976123916155679
2020-07-26,27042,10410,2.5976945244956773,2.990920130950076
2020-07-27,43998,13777,3.1935835087464617,3.0045301144911223
2020-07-28,42035,13788,3.048665506237308,3.0170185636092532
2020-07-29,38600,13792,2.7987238979118327,3.0469662129267783
2020-07-30,58385,16010,3.646783260462211,3.059252976369628
2020-07-31,39497,13088,3.017802567237164,3.0093140845008426
2020-08-01,32819,11899,2.7581309353727206,3.008769171494768
2020-08-02,22402,9734,2.301417711115677,2.966443912440482
2020-08-03,38713,13489,2.869968122173623,2.9202131429300766
2020-08-04,38140,13138,2.9030293804231997,2.89940798209949
2020-08-05,40366,13184,3.061741504854369,2.9369819259484236
2020-08-06,55954,15539,3.6008752171954437,2.930423634053171
2020-08-07,40405,13066,3.092377162100107,2.94107714760502
2020-08-08,36016,13541,2.659774019644044,2.9270261596437805
2020-08-09,27736,10775,2.574106728538283,2.965981733561296
2020-08-10,36680,13299,2.7581021129408225,2.950000875099467
2020-08-11,38368,13415,2.8600819977636975,2.943865534719538
2020-08-12,44031,13963,3.1534054286328153,2.9569603809736016
2020-08-13,23581,10215,2.308467939304944,2.7723307698463877
2020-08-14,43148,13308,3.2422602945596632,2.793742645912038
2020-08-15,40280,13375,3.011588785046729,2.8440018981124218
2020-08-16,31360,10273,3.0526623186995034,2.912366982421168
2020-08-17,35027,12707,2.7565121586527113,2.912139846094295
2020-08-18,32450,12723,2.5504990961251277,2.867913717288785
2020-08-19,38342,13458,2.84901174022886,2.8244289046596482
2020-08-20,63712,15968,3.9899799599198396,3.0646449076046336
2020-08-21,42502,13416,3.1680083482409063,3.054037486701954
2020-08-22,39028,13105,2.9780999618466235,3.049253369101939
2020-08-23,27778,9929,2.797663410212509,3.0128249536037965
2020-08-24,34066,12700,2.6823622047244093,3.0022321030426107
2020-08-25,50711,14364,3.5304232804232805,3.142221272228061
2020-08-26,43697,13681,3.193991667275784,3.1915041189490507
2020-08-27,60347,16046,3.760874984419793,3.158774836734758
2020-08-28,43327,13049,3.3203310598513296,3.1805352241076754
2020-08-29,39073,12196,3.2037553296162677,3.2127717052176243
2020-08-30,29335,10065,2.914555389965226,3.229470559468013
2020-08-31,31706,10217,3.1032592737594205,3.2895987121873
2020-09-01,37074,12615,2.938882282996433,3.2050928554120364
2020-09-02,42074,13184,3.1912924757281553,3.2047072566195176
2020-09-03,66379,16163,4.106848976056425,3.254132112567608
2020-09-04,49945,14404,3.46743960011108,3.2751476183190014
2020-09-05,47612,14325,3.32369982547993,3.2922825462995244
2020-09-06,32401,10862,2.9829681458294974,3.3020557971372777
2020-09-07,48014,14810,3.2419986495611073,3.32187570796609
2020-09-08,48366,14779,3.27261655051086,3.369552031896722
2020-09-09,47306,14568,3.24725425590335,3.37754657192175
2020-09-10,63041,16371,3.850772707837029,3.340964247890408
2020-09-11,46702,14280,3.2704481792717086,3.3128226163419257
2020-09-12,37993,13730,2.7671522214129642,3.2333158157609314
2020-09-13,30393,11059,2.748259336287187,3.1997859858263147
2020-09-14,45762,14323,3.195001047266634,3.1930720426413903
2020-09-15,49140,14979,3.2805928299619467,3.194211511134403
2020-09-16,48813,14374,3.3959231946570196,3.215449930956356
2020-09-17,66696,17191,3.8797044965388867,3.2195830436280497
2020-09-18,47203,14191,3.326263124515538,3.2275566072343103
2020-09-19,44160,14383,3.0702913161371064,3.2708621921949024
2020-09-20,33469,11411,2.9330470598545264,3.297260438418809
2020-09-21,55536,16155,3.43769730733519,3.331931332714316
2020-09-22,55402,16081,3.445183757229028,3.355444322323899
2020-09-23,52138,15698,3.321314817174162,3.344785982683491
2020-09-24,64242,17513,3.6682464454976302,3.3145776896775976
2020-09-25,47119,15030,3.1349966733200265,3.2872539109353816
2020-09-26,38357,13952,2.7492115825688073,3.241385377568481
2020-09-27,32832,11128,2.9503953989935296,3.2438637117311964
2020-09-28,54981,15272,3.6001178627553694,3.267066648219793
2020-09-29,41173,13905,2.9610212153901476,3.1979005708142387
2020-09-30,50824,15205,3.34258467609339,3.2009391220884145
2020-10-01,72812,17542,4.150723976741535,3.2698644836946866
2020-10-02,59288,15461,3.834680809779445,3.3698193603317463
2020-10-03,48493,15551,3.118320365249823,3.4225491864290345
2020-10-04,34775,11919,2.917610537796795,3.4178656348295005
2020-10-05,47774,14797,3.228627424477935,3.3647955722184384
2020-10-06,44284,14363,3.0831998886026595,3.3822496683916548
2020-10-07,45979,14137,3.252387352337837,3.3693643364265755
2020-10-08,64754,16760,3.863603818615752,3.328347170980035
2020-10-09,44829,14176,3.162316591422122,3.2322951397861317
2020-10-10,37883,14267,2.655288427840471,3.1661477201562245
2020-10-11,26476,11116,2.3817920115149334,3.0896022164016728
2020-10-12,51604,15290,3.375016350555919,3.110514920127099
2020-10-13,51549,14871,3.4664111357676015,3.165259384007805
