date,0,magazine,unique page views,magazinepercentofviews,magazineaverage
2020-04-30,54186,34800,88986,39.107275301732855,18.49762182371987
2020-05-01,49338,15494,64832,23.898692003948668,18.492151392821622
2020-05-02,51134,11418,62552,18.253612993989,19.092567059121546
2020-05-03,39341,8801,48142,18.281334385775413,18.72299459615231
2020-05-04,54524,6023,60547,9.947643979057592,17.74067756449271
2020-05-05,61249,3893,65142,5.976175125111295,17.17600579456838
2020-05-06,66283,3409,69692,4.89152269987947,17.193750927070614
2020-05-07,54216,26735,80951,33.026151622586504,16.32501897290685
2020-05-08,54958,13018,67976,19.15087678004001,15.646759655205612
2020-05-09,54135,9111,63246,14.405654112513044,15.09705124356619
2020-05-10,45707,8185,53892,15.187782973354116,14.655115327506005
2020-05-11,57986,6194,64180,9.650981614210034,14.61273498967064
2020-05-12,60789,4536,65325,6.943742824339839,14.750958946703289
2020-05-13,57801,3257,61058,5.334272331226048,14.814208894038513
2020-05-14,49863,26282,76145,34.51572657429903,15.027005315711733
2020-05-15,50945,14209,65154,21.808331031095555,15.406641637291097
2020-05-16,50607,8752,59359,14.744183695816979,15.455003006334513
2020-05-17,37090,7331,44421,16.50345557281466,15.642956234828878
2020-05-18,53099,6982,60081,11.620978345899701,15.924384339355973
2020-05-19,58093,4301,62394,6.893291021572587,15.917176938960651
2020-05-20,59611,2818,62429,4.513927822005798,15.799984866214901
2020-05-21,56530,29542,86072,34.3224277349196,15.772370746303553
2020-05-22,51102,17857,68959,25.89509708667469,16.356194468529143
2020-05-23,59640,11051,70691,15.632824546264729,16.48314316145025
2020-05-24,54822,7917,62739,12.618945153732128,15.928213101581317
2020-05-25,72644,7063,79707,8.861204160236866,15.533959646486627
2020-05-26,88511,5624,94135,5.974398470282042,15.402689282016551
2020-05-27,72882,5339,78221,6.825532785313407,15.732918562489065
2020-05-28,68049,34384,102433,33.56730741069772,15.625044230457368
2020-05-29,58981,15791,74772,21.118868025464078,14.942725793141566
2020-05-30,62362,9338,71700,13.023709902370989,14.569995129728175
2020-05-31,45786,9544,55330,17.24923188143864,15.231464662257679
2020-06-01,62538,9626,72164,13.339061027659222,15.87115850046087
2020-06-02,71569,5311,76880,6.908168574401665,16.004554229620815
2020-06-03,72383,4952,77335,6.403310273485485,15.944236727931115
2020-06-04,66607,35563,102170,34.80767348536752,16.121431881455372
2020-06-05,68690,16041,84731,18.93167789828988,15.808976149001913
